AuxListen_socket_handle AuxListenSocketHandle
CActor Actor
CBase33 Base33
CBase33PredicateLess Base33PredicateLess
CBaseIndex BaseIndex
CBaseIndexOrder BaseIndexOrder
CBasicArea BasicArea
CBezierSpline BezierSpline
CBreakableGlassRenderNode BreakableGlassRenderNode
CBrush Brush
CCamera Camera
CChunkData ChunkData
CChunkFile ChunkFile
CClipVolume ClipVolume
CClipVolumeManager CClipVolumeManager
CClipVolumeManager ClipVolumeManager
CCloudBlockerRenderNode CloudBlockerRenderNode
CColorGradingCtrl ColorGradingCtrl
CColorGradingTextureLoader ColorGradingTextureLoader
CContentCGF ContentCGF
CCryFile CryFile
CCullRenderer CullRenderer
CCullThread CullThread
CDebugDrawListMgr DebugDrawListMgr
CDecal Decal
CDecalManager DecalManager
CDecalRenderNode DecalRenderNode
CDeformableNode DeformableNode
CDistanceCloudRenderNode DistanceCloudRenderNode
CEntity Entity
CEntityComponentLuaScript EntityComponentLuaScript
CEntityComponentSubstitution EntityComponentSubstitution
CEntityScript EntityScript
CEnvironmentPreset EnvironmentPreset
CFeatureSpawnCount FeatureSpawnCount
CFeatureSpawnDensity FeatureSpawnDensity
CFeatureSpawnDistance FeatureSpawnDistance
CFeatureVelocityCompass FeatureVelocityCompass
CFeatureVelocityCone FeatureVelocityCone
CFeatureVelocityDirectional FeatureVelocityDirectional
CFeatureVelocityOmniDirectional FeatureVelocityOmniDirectional
CFogVolumeRenderNode FogVolumeRenderNode
CGeomCache GeomCache
CGeomCacheManager GeomCacheManager
CGeomCacheMeshManager GeomCacheMeshManager
CGeomCacheRenderNode GeomCacheRenderNode
CGeomCacheStreamReader GeomCacheStreamReader
CIndexedMesh IndexedMesh
CInternalSkinningInfo InternalSkinningInfo
CLightEntity LightEntity
CLightVolumesMgr LightVolumesMgr
CListenerSet ListenerSet
CLoadLogListener LoadLogListener
CLoaderCGF LoaderCGF
CLodValue LodValue
CMatInfo MatInfo
CMatMan MatMan
CMaterialCGF MaterialCGF
CMaterialLayer MaterialLayer
CMemoryBlock MemoryBlock
CMergedMeshInstanceProxy MergedMeshInstanceProxy
CMergedMeshRenderNode MergedMeshRenderNode
CMesh Mesh
CMeshCompiler MeshCompiler
CMeshInputProxy MeshInputProxy
CMovableBrush MovableBrush
CNodeCGF NodeCGF
CObjManager ObjManager
CObjManager_Cmp_Streamable_Priority ObjManager_Cmp_Streamable_Priority
COctreeNode OctreeNode
COpticsManager OpticsManager
CParamMod ParamMod
CParticleComponent ParticleComponent
CParticleComponentRuntime ParticleComponentRuntime
CParticleContainer ParticleContainer
CParticleEffect ParticleEffect
CParticleEmitter ParticleEmitter
CParticleFeature ParticleFeature
CParticleFeatureSpawnBase ParticleFeatureSpawnBase
CParticleSource ParticleSource
CPreloadTimeslicer PreloadTimeslicer
CProjectile Projectile
CProximityTriggerSystem ProximityTriggerSystem
CREBreakableGlass REBreakableGlass
CREFogVolume REFogVolume
CREGeomCache REGeomCache
CREParticle REParticle
CReadOnlyChunkFile ReadOnlyChunkFile
CRenderChunk RenderChunk
CRenderObject RenderObject
CRenderView RenderView
CRoadRenderNode RoadRenderNode
CSaverCGF SaverCGF
CSaverVCloth SaverVCloth
CScopedFileHandle ScopedFileHandle
CScriptBind_Entity ScriptBind_Entity
CScriptableBase ScriptableBase
CSkyStage SkyStage
CStatObj StatObj
CStatObjAsyncLoader StatObjAsyncLoader
CStatObjFoliage StatObjFoliage
CStitchedImage StitchedImage
CSurfaceTypeManager SurfaceTypeManager
CTagState TagState
CTangentSpaceCalculation TangentSpaceCalculation
CTerrainNode TerrainNode
CTexture Texture
CTimeOfDay TimeOfDay
CTimeOfDayVariable TimeOfDayVariable
CTimeOfDayVariables TimeOfDayVariables
CTimeValue TimeValue
CTriBaseIndex TriBaseIndex
CVars CVars
CVars Vars
CVec3PredicateLess Vec3PredicateLess
CVegetation Vegetation
CVisArea VisArea
CVisAreaManager VisAreaManager
CVisibleRenderNodesManager VisibleRenderNodesManager
CWaterRippleManager WaterRippleManager
CWeapon Weapon
Codec_ Codec
DEBUG_TYPE DebugType
EAreaType AreaType
ECgfStreamType CgfStreamType
EChunkFileFormat ChunkFileFormat
EDataDomain DataDomain
EDecal_Type DecalType
EERType ERType
EEfResTextures EfResTextures
EEndian Endian
EEndianness Endianness
EEntityProxy EntityProxy
EEnvironFlags EnvironFlags
EFeatureType FeatureType
EFileStreamingStatus FileStreamingStatus
EFileType FileType
EFlareType FlareType
EFrameHeaderState FrameHeaderState
EGlassRNState GlassRNState
EIGHT 8
ELevelLoadStatus LevelLoadStatus
EListModes ListModes
ELoadObjectsMode LoadObjectsMode
EMaterialCopyFlags MaterialCopyFlags
EMeshCompileFlags MeshCompileFlags
EObjList ObjList
EOcTeeNodeListType OcTeeNodeListType
EOcclusionObjectType OcclusionObjectType
EParticleDataType ParticleDataType
ERNListType RNListType
EReadRequestHandleState ReadRequestHandleState
EScreenShotType ScreenShotType
EScriptStates ScriptStates
EShadowMode ShadowMode
ESpawnCountMode SpawnCountMode
ESpawnDistanceMode SpawnDistanceMode
ESpawnRateMode SpawnRateMode
EStandInType StandInType
EState State
EStep Step
ETrinary Trinary
EVoxelEditOperation VoxelEditOperation
FIRST_CHID FIRST_CHILD
FIVE 5
FOUR 4
GLfloat GLfloat
GLfloat f32
GfCamera Camera
Hf_PluginEntry HfPluginEntry
IWeapon Weapon
Int32 i32
MMIO_PTR MmioPtr
OCIO_SHARED_PTR Arc
ONE 1
ORIGIN ORIGIN
PhysSkipList PhysSkipList
SAABBTreeNode AABBTreeNode
SAmmoParams AmmoParams
SAngle360 Angle360
SAnimTime AnimTime
SArea Area
SAreaSpec AreaSpec
SAuxVertex AuxVertex
SBasisFace BasisFace
SBezierKey BezierKey
SBoneInitPosMatrix BoneInitPosMatrix
SBreakableGlassCVars BreakableGlassCVars
SBreakableGlassInitParams BreakableGlassInitParams
SBreakableGlassState BreakableGlassState
SBreakableGlassUpdateParams BreakableGlassUpdateParams
SBreeze Breeze
SBrushChunk BrushChunk
SCachedFogVolume CachedFogVolume
SCameraInfo CameraInfo
SCameraSpaceParams CameraSpaceParams
SCheckOcclusionJobData CheckOcclusionJobData
SCheckOcclusionOutput CheckOcclusionOutput
SClipVolumeInfo ClipVolumeInfo
SCloudBlockerProperties CloudBlockerProperties
SCollisionClass CollisionClass
SColorChart ColorChart
SCompKeyTime CompKeyTime
SComponentParams ComponentParams
SConeDistributor ConeDistributor
SConfig Config
SDebugFPSInfo DebugFPSInfo
SDebugFrustrum DebugFrustrum
SDecalChunk DecalChunk
SDecalOwnerInfo DecalOwnerInfo
SDecalProperties DecalProperties
SDecodeFrameJobData DecodeFrameJobData
SDeformableData DeformableData
SDiskDistributor DiskDistributor
SDistanceCloudChunk DistanceCloudChunk
SDistanceCloudProperties DistanceCloudProperties
SDistribution Distribution
SEVEN 7
SEfTexModificator EfTexModificator
SEntInFoliage EntInFoliage
SEntityEvent EntityEvent
SEntityEventTarget EntityEventTarget
SEntityPhysicalizeParams EntityPhysicalizeParams
SEntityScriptEvent EntityScriptEvent
SEntitySpawnParams EntitySpawnParams
SEntityUpdateContext EntityUpdateContext
SExportedBrushMaterial ExportedBrushMaterial
SFader Fader
SFloat Float
SFloat10 Float10
SFogVolumeProperties FogVolumeProperties
SFrameData FrameData
SFrameInfo FrameInfo
SFrameLodInfo FrameLodInfo
SGeomCacheBufferHandle GeomCacheBufferHandle
SGeomCacheFrameHeader GeomCacheFrameHeader
SGeomCacheReadRequestHandle GeomCacheReadRequestHandle
SGeomCacheRenderElementData GeomCacheRenderElementData
SGeomCacheRenderMeshUpdateContext GeomCacheRenderMeshUpdateContext
SGeomCacheStaticMeshData GeomCacheStaticMeshData
SGeomCacheStaticNodeData GeomCacheStaticNodeData
SGeomCacheStaticNodeData dGeomCacheStaticNodeData
SGeomCacheStreamInfo GeomCacheStreamInfo
SGeometryDebugDrawInfo GeometryDebugDrawInfo
SGlassPhysFragment GlassPhysFragment
SGraphicsPipelineKey GraphicsPipelineKey
SHazardDescriptor HazardDescriptor
SIX 6
SImageInfo ImageInfo
SImageSubInfo ImageSubInfo
SInputShaderResources InputShaderResources
SInstancingInfo InstancingInfo
SIntersectionResult IntersectionResult
SLayerActivityInfo LayerActivityInfo
SLayerVisibility LayerVisibility
SLightCell LightCell
SLightVolInfo LightVolInfo
SLightVolume LightVolume
SLoadPrepareState LoadPrepareState
SMMRM MMRM
SMMRMBoneMapping MMRMBoneMapping
SMMRMChunk MMRMChunk
SMMRMContact MMRMContact
SMMRMDeform MMRMDeform
SMMRMDeformConstraint MMRMDeformConstraint
SMMRMDeformVertex MMRMDeformVertex
SMMRMGeometry MMRMGeometry
SMMRMGroupHeader MMRMGroupHeader
SMMRMInstance MMRMInstance
SMMRMInstanceContext MMRMInstanceContext
SMMRMPhysConfig MMRMPhysConfig
SMMRMProjectile MMRMProjectile
SMMRMSkinVertex MMRMSkinVertex
SMMRMSpineInfo MMRMSpineInfo
SMMRMSpineVtx MMRMSpineVtx
SMMRMSpineVtxBase MMRMSpineVtxBase
SMMRMUpdateContext MMRMUpdateContext
SMMRMVisibleChunk MMRMVisibleChunk
SMergedMeshChunk MergedMeshChunk
SMergedMeshGroupChunk MergedMeshGroupChunk
SMergedMeshInstanceCompressed MergedMeshInstanceCompressed
SMergedMeshInstanceSorter MergedMeshInstanceSorter
SMergedMeshSectorChunk MergedMeshSectorChunk
SMergedRMChunk MergedRMChunk
SMeshBoneMapping_uint8 MeshBoneMapping_uint8
SMeshDescription MeshDescription
SMeshFace MeshFace
SMeshMapInfo MeshMapInfo
SMeshNormal MeshNormal
SMeshSubset MeshSubset
SMeshTangents MeshTangents
SMikkFace MikkFace
SMikkMesh MikkMesh
SMikkTSpaceContext MikkTSpaceContext
SMikkVertex MikkVertex
SMoveState MoveState
SNodeInstancingInfo NodeInstancingInfo
SObjManPrecacheCamera ObjManPrecacheCamera
SObjManPrecachePoint ObjManPrecachePoint
SObjManRenderDebugInfo ObjManRenderDebugInfo
SObjectInfoToAddToDebugDrawList ObjectInfoToAddToDebugDrawList
SObjectsStreamingStatus ObjectsStreamingStatus
SOcTreeNodeChunk OcTreeNodeChunk
SOctreeLoadObjectsData OctreeLoadObjectsData
SOptimizedOutdoorWindArea OptimizedOutdoorWindArea
SParentFireModeParams ParentFireModeParams
SParticleCounts ParticleCounts
SPerObjectShadow PerObjectShadow
SPhysEnviron PhysEnviron
SPhysForces PhysForces
SPipNormal PipNormal
SPipQTangents PipQTangents
SPipTangents PipTangents
SPlaneObject PlaneObject
SProcVegSample ProcVegSample
SProjectileLaunchParams ProjectileLaunchParams
SProximityElement ProximityElement
SRNInfo RNInfo
SRainParams RainParams
SRayHitInfo RayHitInfo
SRendItemSorter RendItemSorter
SRendParams RendParams
SRenderContext RenderContext
SRenderLight RenderLight
SRenderMeshInfoOutput RenderMeshInfoOutput
SRenderNodeChunk RenderNodeChunk
SRenderNodeTempData RenderNodeTempData
SRenderingPassInfo RenderingPassInfo
SRibbon Ribbon
SRoadChunk RoadChunk
SSampleDensity SampleDensity
SSceneFrustum SceneFrustum
SScriptState ScriptState
SScriptStateFunctions ScriptStateFunctions
SSectorTextureSet SectorTextureSet
SShaderItem ShaderItem
SShadowFrustumMGPUCache ShadowFrustumMGPUCache
SSkyLightRenderParams SkyLightRenderParams
SSnowParams SnowParams
SStreamAbleObject StreamAbleObject
SStreamingPredictionZone StreamingPredictionZone
SStremaingBandwidthData StremaingBandwidthData
SSvoNodeInfo SvoNodeInfo
STemporalPredictorData TemporalPredictorData
STerrainInfo TerrainInfo
STextureToLoad TextureToLoad
STimeOfDayConstants TimeOfDayConstants
STimeState TimeState
STracerParams TracerParams
SUpdateRange UpdateRange
SUpdateStreamingPriorityContext UpdateStreamingPriorityContext
SVClothInfoCGF VClothInfoCGF
SVegetationChunk VegetationChunk
SVegetationChunkOld VegetationChunkOld
SVegetationSpriteInfo VegetationSpriteInfo
SVegetationSpriteLightInfo VegetationSpriteLightInfo
SVisAreaChunk VisAreaChunk
SVisAreaInfo VisAreaInfo
SVisEnviron VisEnviron
SWaterVolumeChunk WaterVolumeChunk
SWaterVolumeSerialize WaterVolumeSerialize
SWaterVolumeVertex WaterVolumeVertex
SWaterWaveChunk WaterWaveChunk
SWindGrid WindGrid
SharedPtr Arc
String String
TAssetInfo AssetInfo
TBufferHandleType BufferHandleType
TComparator Comparator
TConstArray ConstArray
TConstructorParams ConstructorParams
TDecodeVerticesBranchlessPtr DecodeVerticesBranchlessPtr
TDoublyLinkedList DoublyLinkedList
TFace Face
TFilenameString FilenameString
TGeomCacheMap GeomCacheMap
TGlassPhysFragmentArray GlassPhysFragmentArray
TGlassPhysFragmentIdArray GlassPhysFragmentIdArray
THREE 3
TKeyContainer KeyContainer
TListRef ListRef
TMeshMap MeshMap
TMyStandardString MyStandardString
TObjectDrawBoxInfo ObjectDrawBoxInfo
TParticleId ParticleId
TRenderElementMap RenderElementMap
TRenderNodeStatusListeners RenderNodeStatusListeners
TRenderNodeStatusListenersArray RenderNodeStatusListenersArray
TRibbons Ribbons
TWO 2
TfHash Hash
TfHashMap HashMap
TfHashSet HashSet
Tf_SafeStacked TfSafeStacked
UAngle180 Angle180
UFloat10 Float10
UINT u32
UUnitFloat UnitFloat
VMA_ATOMIC_UINT32 AtomicU32
VMA_ATOMIC_UINT64 AtomicU64
ValueType_ ValueType
ValueType_ ValueType/gc
Vt_ArrayBase VtArrayBase
Vt_ArrayForeignDataSource VtArrayForeignDataSource
Vt_CastRegistry VtCastRegistry
Vt_DefaultHolder VtDefaultHolder
Vt_ShapeData VtShapeData
Work_AsyncSwapDestroyHelper WorkAsyncSwapDestroyHelper
_128 128
_16 16
_64 64
_:unique_ptr :unique_ptr
_AbsPathHelper AbsPathHelper
_AccelTable AccelTable
_Adapter Adapter
_ApplyList ApplyList
_ApplyMap ApplyMap
_Arc PcpInstanceKeyArc
_ArrayHelper ArrayHelper
_ArrayValueHandlerBase ArrayValueHandlerBase
_ArrowProxy ArrowProxy
_Asset Asset
_AssetLocalizer AssetLocalizer
_AssetStream AssetStream
_AttrHash AttrHash
_AttrValueWriterMap AttrValueWriterMap
_AttrWriter AttrWriter
_BBoxTask BBoxTask
_BackpointerMap BackpointerMap
_BasisCurvesReprConfig BasisCurvesReprConfig
_BehaviorRegistry BehaviorRegistry
_BlendShape BlendShape
_BootStrap BootStrap
_BprimIndex BprimIndex
_BucketVec BucketVec
_Buffer Buffer
_BufferArrayIndex BufferArrayIndex
_BufferedOutput BufferedOutput
_Cache Cache
_CacheMap CacheMap
_CachePtr CachePtr
_CachePtrStack CachePtrStack
_Camera Camera
_CanHashFunc CanHashFunc
_CentralDirectoryHeader CentralDirectoryHeader
_ChildPolicy ChildPolicy
_Children Children
_ChildrenSizeType ChildrenSizeType
_ClipFileVector ClipFileVector
_ClipSet ClipSet
_ClipTable ClipTable
_ClipTimeString ClipTimeString
_CoalescedItem CoalescedItem
_CoalescedItemEqualTo CoalescedItemEqualTo
_CoalescedItemHash CoalescedItemHash
_CollectionStateMap CollectionStateMap
_Collector PcpInstanceKeyCollector
_ColorConfigurationFallbacks ColorConfigurationFallbacks
_CompareSkels CompareSkels
_ComposeFunction ComposeFunction
_ComposeValueHelper ComposeValueHelper
_CompressedIntsReader CompressedIntsReader
_ConcurrentDrawItems ConcurrentDrawItems
_ConcurrentRange ConcurrentRange
_ConcurrentRangeArray ConcurrentRangeArray
_ConstGetHelper ConstGetHelper
_ContextData ContextData
_ContextDataVector ContextDataVector
